support,itemsets,length
0.030503304524656837,"'whole milk', 'citrus fruit'",2
0.04229791560752415,"'whole milk', 'tropical fruit'",2
0.035892221657346214,"'tropical fruit', 'other vegetables'",2
0.05602440264361973,"'whole milk', 'yogurt'",2
0.04341637010676157,"'other vegetables', 'yogurt'",2
0.03436705643111337,"'rolls/buns', 'yogurt'",2
0.030096593797661414,"'whole milk', 'pip fruit'",2
0.07483477376715811,"'whole milk', 'other vegetables'",2
0.05663446873411286,"'whole milk', 'rolls/buns'",2
0.03436705643111337,"'whole milk', 'bottled water'",2
0.040061006609049314,"'whole milk', 'soda'",2
0.033248601931875954,"'whole milk', 'pastry'",2
0.048906964921199794,"'whole milk', 'root vegetables'",2
0.032231825114387394,"'whole milk', 'whipped/sour cream'",2
0.04260294865277072,"'rolls/buns', 'other vegetables'",2
0.032740213523131674,"'soda', 'other vegetables'",2
0.04738179969496696,"'root vegetables', 'other vegetables'",2
0.03833248601931876,"'rolls/buns', 'soda'",2
0.030604982206405694,"'rolls/buns', 'sausage'",2
